NUMERO,QUEST 1,QUEST 2,QUEST 3,QUEST 4,QUEST 5,QUEST 6,QUEST 7,QUEST 8,QUEST 9 ,QUEST 10,QUEST 11,QUEST 12,QUEST 13,QUEST 14,QUEST 15,FORME,DUREE,SAMU,CSP,VILLE
1,7,5,2,1,2,6,5,5,6,5,4,5,1,4,3,O,< 6,O,IDE,STRAS
2,4,7,7,7,7,4,1,1,1,1,1,7,6,1,4,O,< 6,O,MED,STRAS
3,2,6,3,5,1,5,4,5,6,5,5,7,3,4,2,O,6-12,O,MED,STRAS
4,1,5,2,5,3,5,3,3,6,4,3,6,2,2,2,O,6-12,O,MED,STRAS
5,6,6,7,7,3,7,7,2,7,4,6,7,3,4,2,O,6-12,O,IADE,STRAS
6,6,2,6,7,6,5,3,5,6,4,5,2,4,5,5,O,< 6,O,ADE,STRAS
7,3,3,7,2,7,2,2,2,6,3,3,3,4,2,2,N,NA,,ADE,STRAS
8,1,1,6,1,2,2,6,4,6,6,6,4,6,6,5,O,< 6,O,IDE,STRAS
9,5,5,4,7,2,2,7,7,7,5,6,7,2,7,7,O,< 6,O+,MED,STRAS
10,7,7,6,1,2,3,6,6,5,3,7,7,2,6,6,O,< 6,O,IADE,STRAS
11,5,2,7,7,5,3,6,6,6,6,6,6,5,5,4,O,< 6,O,MED,STRAS
12,7,6,6,1,1,5,5,4,3,6,4,6,1,6,5,O,< 6,O,IDE,STRAS
13,6,5,5,4,4,3,5,5,5,5,6,6,5,5,5,N,NA,,MED,STRAS
14,7,3,3,7,4,6,6,5,4,4,2,5,2,4,4,O,< 6,O,IADE,STRAS
15,4,3,6,6,7,5,3,4,7,4,6,5,3,3,3,O,< 6,O,ADE,STRAS
16,4,4,6,6,6,5,5,5,3,5,4,6,6,6,5,O,< 6,O,MED,STRAS
17,5,4,7,7,7,6,5,5,4,4,5,5,7,5,5,O,6-12,O,IDE,STRAS
18,1,6,4,1,4,7,4,4,4,4,4,7,4,4,4,O,< 6,O,MED,STRAS
19,6,4,7,7,7,2,6,6,7,4,6,7,2,5,4,O,6-12,O,ADE,STRAS
20,6,6,7,1,4,7,7,7,5,7,5,4,1,4,2,O,< 6,O,ADE,STRAS
21,4,2,6,7,7,5,5,5,6,5,5,6,5,5,5,O,< 6,O,ADE,STRAS
22,3,3,3,7,3,2,5,5,5,5,5,5,3,5,5,O,6-12,O,IADE,STRAS
23,2,4,6,3,2,5,5,4,6,3,3,6,3,2,2,O,< 6,O,IDE,STRAS
24,1,1,6,1,7,7,4,5,3,5,5,6,5,5,3,O,< 6,O,ADE,STRAS
25,4,6,6,6,6,3,3,3,3,3,5,6,6,5,3,O,< 6,O,IADE,STRAS
26,6,2,6,4,5,2,7,6,7,7,7,7,3,6,6,O,< 6,O,ADE,STRAS
27,1,1,3,6,4,7,2,4,6,4,3,3,6,3,2,O,< 6,O,ADE,STRAS
28,4,2,4,7,2,6,3,2,4,3,5,5,6,4,3,O,< 6,O,IDE,STRAS
29,1,1,7,5,7,7,5,7,7,7,6,5,1,6,6,O,< 6,O,MED,STRAS
30,2,2,7,7,5,7,2,1,6,2,1,2,7,1,1,N,NA,,MED,STRAS
31,4,2,6,6,5,7,7,3,2,3,3,7,7,5,2,O,< 6,O,MED,STRAS
32,1,1,7,7,7,7,1,1,7,1,1,7,1,4,4,O,< 6,O,ADE,STRAS
33,7,7,7,1,3,7,7,7,7,6,7,7,2,7,7,O,< 6,O+,IDE,STRAS
34,6,3,7,7,7,6,3,2,5,3,2,5,7,4,3,O,< 6,O,ADE,STRAS
35,2,6,6,7,6,2,6,6,6,6,6,6,2,6,5,O,< 6,O,IDE,STRAS
36,3,3,4,3,5,2,5,4,6,4,5,6,3,6,3,O,>12,O,MED,STRAS
37,6,7,7,3,6,5,5,5,5,5,6,5,4,4,4,O,< 6,O,MED,STRAS
38,4,2,7,4,4,4,6,5,6,5,3,6,5,4,4,O,< 6,O,IADE,STRAS
