NUMERO,QUEST 1,QUEST 2,QUEST 3,QUEST 4,QUEST 5,QUEST 6,QUEST 7,QUEST 8,QUEST 9 ,QUEST 10,QUEST 11,QUEST 12,QUEST 13,QUEST 14,QUEST 15,FORME,MOINS DE 6,ENTRE 6 12,PLUS DE 12,SAMU,POMPIERS,MILITAIRE,MEDECIN,IADE,IDE,AMBULANC,STRAS
1,7,5,2,1,2,6,5,5,6,5,4,5,1,4,3,O,O,,,O,,,,,O,,
2,4,7,7,7,7,4,1,1,1,1,1,7,6,1,4,O,O,,,O,,,O,,,,
3,2,6,3,5,1,5,4,5,6,5,5,7,3,4,2,O,,O,,O,,,O,,,,
4,1,5,2,5,3,5,3,3,6,4,3,6,2,2,2,O,,O,,O,,,O,,,,
5,6,6,7,7,3,7,7,2,7,4,6,7,3,4,2,O,,O,,O,,,,O,,,
6,6,2,6,7,6,5,3,5,6,4,5,2,4,5,5,O,O,,,O,,,,,,O,
7,3,3,7,2,7,2,2,2,6,3,3,3,4,2,2,N,,,,,,,,,,O,
8,1,1,6,1,2,2,6,4,6,6,6,4,6,6,5,O,O,,,O,,,,,O,,
9,5,5,4,7,2,2,7,7,7,5,6,7,2,7,7,O,O,,,O+,,,O,,,,
10,7,7,6,1,2,3,6,6,5,3,7,7,2,6,6,O,O,,,O,,,,O,,,
11,5,2,7,7,5,3,6,6,6,6,6,6,5,5,4,O,O,,,O,,,O,,,,
12,7,6,6,1,1,5,5,4,3,6,4,6,1,6,5,O,O,,,O,,,,,O,,
13,6,5,5,4,4,3,5,5,5,5,6,6,5,5,5,N,,,,,,,O,,,,
14,7,3,3,7,4,6,6,5,4,4,2,5,2,4,4,O,O,,,O,,,,O,,,
15,4,3,6,6,7,5,3,4,7,4,6,5,3,3,3,O,O,,,O,,,,,,O,
16,4,4,6,6,6,5,5,5,3,5,4,6,6,6,5,O,O,,,O,,,O,,,,
17,5,4,7,7,7,6,5,5,4,4,5,5,7,5,5,O,,O,,O,,,,,O,,
